N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"56,500",100,-0.18%,100,"3,372,927","5,969,783",49.54,"14,727,207",8.57,13.92
2,LG에너지솔루션,"489,000","2,500",-0.51%,500,"1,144,260","234,000",4.50,"332,762",812.29,10.68
3,SK하이닉스,"95,800",600,+0.63%,"5,000","697,426","728,002",50.90,"2,590,483",6.08,16.84
4,삼성바이오로직스,"845,000","15,000",+1.81%,"2,500","601,420","71,174",10.50,"64,798",112.38,8.21
5,LG화학,"611,000","36,000",+6.26%,"5,000","431,319","70,592",48.36,"249,808",21.54,18.47
6,삼성전자우,"51,900",200,+0.39%,100,"427,078","822,887",71.62,"855,517",7.87,N/A
7,삼성SDI,"605,000",0,0.00%,"5,000","416,025","68,765",45.18,"186,160",28.22,8.45
8,현대차,"168,000","1,000",+0.60%,"5,000","358,963","213,668",28.97,"1,228,580",7.45,6.84
9,NAVER,"172,500","5,500",+3.29%,100,"282,985","164,049",49.90,"1,407,036",28.14,106.72
10,기아,"69,100",400,+0.58%,"5,000","280,106","405,363",37.16,"1,879,680",5.29,14.69
11,셀트리온,"176,500","7,000",+4.13%,"1,000","248,498","140,792",21.31,"360,449",44.16,16.04
12,카카오,"49,400","1,050",+2.17%,100,"219,989","445,322",27.79,"6,255,754",9.88,17.10
13,POSCO홀딩스,"250,000","2,500",+1.01%,"5,000","211,428","84,571",53.52,"362,760",3.02,13.97
14,삼성물산,"111,000",0,0.00%,100,"207,445","186,887",16.53,"219,879",13.22,5.40
15,KB금융,"47,350","1,450",+3.16%,"5,000","193,613","408,897",73.63,"1,249,022",4.18,9.80
16,현대모비스,"204,000","9,000",+4.62%,"5,000","192,929","94,573",35.62,"260,431",8.13,6.87
17,신한지주,"36,750",550,+1.52%,"5,000","188,503","512,934",61.78,"970,831",4.56,8.80
18,SK,"205,000","6,500",+3.27%,200,"152,006","74,149",22.31,"122,894",4.60,10.19
19,SK이노베이션,"156,500",0,0.00%,"5,000","144,709","92,466",25.71,"249,912",5.72,1.91
20,포스코케미칼,"183,000","12,000",+7.02%,500,"141,758","77,463",7.49,"1,889,356",103.39,7.92
21,LG전자,"82,800","1,100",+1.35%,"5,000","135,500","163,648",25.87,"590,250",8.12,6.32
22,삼성생명,"66,300",200,+0.30%,500,"132,600","200,000",13.13,"214,779",18.17,4.01
23,LG,"78,800",100,-0.13%,"5,000","123,953","157,301",36.18,"180,526",5.42,12.36
24,고려아연,"605,000","11,000",-1.79%,"5,000","120,172","19,863",21.72,"60,572",13.40,11.07
25,KT&G,"87,300",500,-0.57%,"5,000","119,856","137,292",42.44,"257,105",11.32,10.74
26,하나금융지주,"39,400","1,100",+2.87%,"5,000","116,586","295,903",71.07,"1,112,240",3.37,10.86
27,SK텔레콤,"50,200","1,200",+2.45%,100,"109,854","218,833",46.54,"459,947",8.65,13.63
28,한국전력,"17,100",0,0.00%,"5,000","109,776","641,964",14.64,"1,214,183",-0.71,-7.99
29,현대중공업,"114,500","2,500",-2.14%,"5,000","101,645","88,773",5.62,"298,199",-13.76,-14.87
30,한화솔루션,"51,900","3,300",+6.79%,"5,000","99,274","191,278",21.73,"2,959,800",28.56,8.79
31,HMM,"19,250",200,+1.05%,"5,000","94,140","489,039",9.47,"1,456,882",0.81,88.62
32,S-Oil,"82,500",300,-0.36%,"2,500","92,881","112,583",81.50,"329,326",3.84,21.76
33,크래프톤,"189,000","9,500",+5.29%,100,"92,746","49,072",29.27,"161,308",14.68,17.86
34,KT,"35,500",500,+1.43%,"5,000","92,695","261,112",44.35,"606,084",6.44,9.36
35,삼성화재,"195,500","1,000",+0.51%,500,"92,618","47,375",49.95,"52,664",8.57,7.09
36,삼성에스디에스,"118,000","1,000",+0.85%,500,"91,306","77,378",13.55,"118,564",12.00,8.80
37,LG생활건강,"578,000","3,000",+0.52%,"5,000","90,273","15,618",37.43,"39,225",17.16,16.65
38,삼성전기,"119,500",0,0.00%,"5,000","89,259","74,694",26.35,"430,625",8.99,14.29
39,우리금융지주,"11,850",150,+1.28%,"5,000","86,275","728,061",40.58,"2,328,800",2.94,10.59
40,두산에너빌리티,"13,500",250,+1.89%,"5,000","86,172","638,308",11.83,"3,696,491",101.50,10.67
41,대한항공,"22,550","1,200",+5.62%,"5,000","83,034","368,221",14.85,"2,158,410",5.27,11.60
42,카카오뱅크,"17,200",600,+3.61%,"5,000","81,981","476,631",12.98,"3,041,141",38.14,4.91
43,엔씨소프트,"355,500","27,500",+8.38%,500,"78,047","21,954",43.14,"160,920",15.33,12.62
44,기업은행,"10,250",50,+0.49%,"5,000","76,291","744,301",13.48,"765,808",3.37,9.21
45,LG이노텍,"290,500",500,-0.17%,"5,000","68,753","23,667",24.90,"256,916",7.14,30.94
46,현대글로비스,"172,000","3,000",+1.78%,500,"64,500","37,500",46.47,"76,267",6.23,14.41
47,CJ제일제당,"402,000","1,000",+0.25%,"5,000","60,518","15,054",24.48,"18,022",10.15,10.76
48,SK바이오사이언스,"77,800","3,900",+5.28%,500,"59,738","76,784",4.21,"461,137",17.82,38.08
49,아모레퍼시픽,"98,100","1,200",+1.24%,500,"57,381","58,493",25.63,"183,915",80.61,4.20
50,롯데케미칼,"166,000","4,500",+2.79%,"5,000","56,897","34,275",23.96,"79,882",11.07,9.87
51,SK스퀘어,"39,400",0,0.00%,100,"55,738","141,468",41.98,"232,012",2.44,N/A
52,F&F,"139,000",0,0.00%,100,"53,247","38,307",12.12,"93,823",14.54,N/A
53,LG디스플레이,"14,850",400,+2.77%,"5,000","53,136","357,816",19.25,"2,087,138",25.26,9.68
54,한국조선해양,"74,100",700,-0.94%,"5,000","52,443","70,773",20.36,"178,854",-7.56,-8.95
55,강원랜드,"23,850",450,+1.92%,500,"51,025","213,940",22.52,"266,532",124.22,-0.33
56,하이브,"120,500","5,500",+4.78%,500,"49,831","41,353",15.77,"559,108",21.23,6.83
57,KODEX 200,"29,450",375,+1.29%,0,"49,373","167,650",7.61,"4,794,140",N/A,N/A
58,카카오페이,"36,750","2,150",+6.21%,500,"48,761","132,682",42.74,"1,098,769",-185.61,-2.45
59,LG유플러스,"10,900",350,+3.32%,"5,000","47,591","436,611",37.61,"819,583",7.44,9.47
60,삼성엔지니어링,"24,250","1,050",+4.53%,"5,000","47,530","196,000",40.18,"1,418,465",11.15,20.67
61,맥쿼리인프라,"11,400",100,-0.87%,0,"46,152","404,846",13.58,"739,016",N/A,N/A
62,HD현대,"58,200",400,+0.69%,"1,000","45,974","78,993",17.22,"63,192",5.17,-1.99
63,삼성중공업,"5,200",50,+0.97%,"1,000","45,760","880,000",15.48,"2,145,659",-6.87,-36.89
64,한국타이어앤테크놀로지,"36,100","1,750",+5.09%,500,"44,719","123,875",36.02,"334,029",6.55,7.69
65,GS,"47,300",650,+1.39%,"5,000","43,949","92,915",24.84,"217,001",2.03,15.55
66,SK바이오팜,"56,100","1,100",+2.00%,500,"43,934","78,313",6.09,"116,284",-56.50,15.75
67,한국항공우주,"42,800","1,550",+3.76%,"5,000","41,719","97,475",24.37,"1,333,581",49.20,5.19
68,현대제철,"31,200",650,+2.13%,"5,000","41,635","133,446",21.24,"341,003",2.15,8.54
69,현대건설,"37,300","2,150",+6.12%,"5,000","41,536","111,356",23.45,"1,054,828",7.36,5.89
70,DB손해보험,"58,100",900,+1.57%,500,"41,135","70,800",42.66,"100,671",4.29,13.38
71,한온시스템,"7,700",230,+3.08%,100,"41,103","533,800",16.46,"673,677",22.00,13.83
72,롯데지주,"38,700",300,-0.77%,200,"40,600","104,909",9.92,"157,300",12.17,4.61
73,넷마블,"46,850","2,550",+5.76%,100,"40,269","85,954",23.34,"231,971",-172.88,4.29
74,코웨이,"54,500",100,+0.18%,500,"40,221","73,800",61.81,"256,312",8.18,27.41
75,유한양행,"54,600","1,100",+2.06%,"1,000","39,984","73,231",19.21,"209,078",41.52,5.45
76,오리온,"100,500",500,+0.50%,500,"39,734","39,536",35.80,"96,416",13.60,12.75
77,금호석유,"135,500","1,000",-0.73%,"5,000","39,721","29,314",21.33,"81,589",2.89,47.76
78,현대미포조선,"98,500","4,000",-3.90%,"5,000","39,343","39,942",20.06,"496,761",-93.36,-7.11
79,미래에셋증권,"6,320",130,+2.10%,"5,000","38,888","615,316",12.59,"692,421",5.13,11.66
80,SKC,"99,000","1,500",-1.49%,"5,000","37,490","37,868",16.01,"364,131",12.77,11.60
81,SK아이이테크놀로지,"51,900","2,700",+5.49%,"1,000","37,003","71,298",8.94,"589,126",286.74,5.57
82,삼성카드,"30,700",50,-0.16%,"5,000","35,569","115,859",6.60,"52,520",6.08,7.53
83,메리츠화재,"30,750",850,+2.84%,500,"34,988","113,783",11.33,"186,946",4.57,26.12
84,TIGER 차이나전기차SOLACTIVE,"14,180",35,+0.25%,0,"34,077","240,320",1.43,"2,885,566",N/A,N/A
85,한국가스공사,"34,850","1,350",+4.03%,"5,000","32,171","92,313",10.73,"340,400",2.34,11.63
86,현대오토에버,"116,500","2,000",+1.75%,500,"31,949","27,424",1.99,"55,569",41.25,7.26
87,메리츠금융지주,"23,950","1,200",+5.27%,500,"30,553","127,572",6.27,"241,231",3.22,22.33
88,BGF리테일,"176,000","3,000",+1.73%,"1,000","30,420","17,284",31.97,"28,874",18.07,19.61
89,NH투자증권,"9,130",180,+2.01%,"5,000","30,281","331,666",12.93,"328,336",4.70,14.77
90,KODEX KOFR금리액티브(합성),"101,025",10,+0.01%,0,"30,083","29,778",2.08,"36,551",N/A,N/A
91,한화에어로스페이스,"59,400","2,200",+3.85%,"5,000","30,074","50,630",23.82,"1,536,774",19.47,9.21
92,두산밥캣,"29,950",150,+0.50%,500,"30,025","100,249",26.21,"226,069",7.17,9.19
